sport ;epreuve;session;lieu;date;horaire_debut;horaire_fin
Badminton;Double mixte, poules pr‚liminaires Simple femmes, poules pr‚liminaires Double hommes, poules pr‚liminaires Double femmes, poules pr‚liminaires Simple hommes, poules pr‚liminaires;BDM01;Arena Porte de la Chapelle;27/07/2024;08:30:00;12:00:00
Badminton;Double mixte, poules pr‚liminaires Simple femmes, poules pr‚liminaires Double hommes, poules pr‚liminaires Double femmes, poules pr‚liminaires Simple hommes, poules pr‚liminaires;BDM02;Arena Porte de la Chapelle;27/07/2024;14:00:00;17:30:00
Badminton;Simple femmes, poules pr‚liminaires Double hommes, poules pr‚liminaires Double femmes, poules pr‚liminaires Simple hommes, poules pr‚liminaires;BDM03;Arena Porte de la Chapelle;27/07/2024;19:30:00;23:00:00
Badminton;Double mixte, poules pr‚liminaires Simple femmes, poules pr‚liminaires Double hommes, poules pr‚liminaires Double femmes, poules pr‚liminaires Simple hommes, poules pr‚liminaires;BDM04;Arena Porte de la Chapelle;28/07/2024;08:30:00;12:00:00
Badminton;Double mixte, poules pr‚liminaires Double femmes, poules pr‚liminaires Simple femmes, poules pr‚liminaires Simple hommes, poules pr‚liminaires;BDM05;Arena Porte de la Chapelle;28/07/2024;14:00:00;17:30:00
Badminton;Double mixte, poules pr‚liminaires Double hommes, poules pr‚liminaires Simple femmes, poules pr‚liminaires Double femmes, poules pr‚liminaires Simple hommes, poules pr‚liminaires;BDM06;Arena Porte de la Chapelle;28/07/2024;19:30:00;23:00:00
Badminton;Double mixte, poules pr‚liminaires Double hommes, poules pr‚liminaires Simple femmes, poules pr‚liminaires Double femmes, poules pr‚liminaires Simple hommes, poules pr‚liminaires;BDM07;Arena Porte de la Chapelle;29/07/2024;08:30:00;12:00:00
Badminton;Double mixte, poules pr‚liminaires Double femmes, poules pr‚liminaires Simple femmes, poules pr‚liminaires Simple hommes, poules pr‚liminaires Double hommes, poules pr‚liminaires;BDM08;Arena Porte de la Chapelle;29/07/2024;14:00:00;17:30:00
Badminton;Double mixte, poules pr‚liminaires Simple femmes, poules pr‚liminaires Double hommes, poules pr‚liminaires Double femmes, poules pr‚liminaires Simple hommes, poules pr‚liminaires;BDM09;Arena Porte de la Chapelle;29/07/2024;19:30:00;23:00:00
Badminton;Simple femmes, poules pr‚liminaires Double hommes, poules pr‚liminaires Double femmes, poules pr‚liminaires Simple hommes, poules pr‚liminaires;BDM10;Arena Porte de la Chapelle;30/07/2024;08:30:00;12:00:00
Badminton;Double hommes, poules pr‚liminaires Double femmes, poules pr‚liminaires Simple femmes, poules pr‚liminaires Simple hommes, poules pr‚liminaires;BDM11;Arena Porte de la Chapelle;30/07/2024;14:00:00;17:30:00
Badminton;Simple femmes, poules pr‚liminaires Double hommes, poules pr‚liminaires Double femmes, poules pr‚liminaires Simple hommes, poules pr‚liminaires;BDM12;Arena Porte de la Chapelle;30/07/2024;19:30:00;23:00:00
Badminton;Simple femmes, poules pr‚liminaires Simple hommes, poules pr‚liminaires;BDM13;Arena Porte de la Chapelle;31/07/2024;08:30:00;12:00:00
